iteration,cost
1,26.77122536588408
2,26.778453388697905
3,26.77132662495997
4,26.775016752499468
5,26.77204252257222
6,26.772174673358858
7,26.77052825750279
8,26.779268145132004
9,26.7669123527041
10,26.770916750577232
11,26.7677468772332
12,26.76769764186295
13,26.767067979891415
14,26.765738665109716
15,26.772103042647238
16,26.766470846376244
17,26.765818239888603
18,26.766288095066628
19,26.76611308931239
20,26.783396776195048
21,26.7660393320302
22,26.76586213602141
23,26.76579803180252
24,26.765881129117545
25,26.7649197092441
26,26.75588701901651
27,26.765169508315946
28,26.757054047545505
29,26.75645801725749
30,26.75903387860539
31,26.759578224598748
32,26.757022234871233
33,26.772650174647517
34,26.757469379016865
35,26.75101703805416
36,26.749632357487286
37,26.756500927771917
38,26.75037808735517
39,26.760912306209068
40,26.752665071911963
41,26.75202063069768
42,26.752586089829215
43,26.75227055320257
44,26.75388822897848
45,26.75483983737877
46,26.758220807225054
47,26.75492734840008
48,26.74994613307156
49,26.749124460637
50,26.74975155706037
51,26.749534812143633
52,26.75314067517513
53,26.74903083710231
54,26.752125218843975
55,26.749137588981736
56,26.768363127994487
57,26.74929628509055
58,26.748040663214898
59,26.752765329359235
60,26.748629783562535
61,26.764135041260438
62,26.74849029606011
63,26.755879569081305
64,26.74881524302387
65,26.74887104405878
66,26.74884336905402
67,26.76212526894217
68,26.747714315568086
69,26.748071445868376
70,26.748692690335872
71,26.74968508072536
72,26.750028097343826
73,26.748372773086388
74,26.748811055902976
75,26.748394859347158
76,26.747857135882672
77,26.748247462331648
78,26.748037372637036
79,26.74854204862893
80,26.747992790279678
81,26.748115671578578
82,26.748136048827067
83,26.7480557560153
84,26.748434372299627
85,26.748349656244894
86,26.74887210227577
87,26.74825431089189
88,26.748692986034687
89,26.74830258956612
90,26.748229554278616
91,26.748529190733354
92,26.74787556235181
93,26.74833764870591
94,26.748431388845678
95,26.748101586228824
96,26.748598946109624
97,26.747933902352173
98,26.748040369302835
99,26.74808281707987
100,26.747162715314367
