dataset,model,fit_time_s,predict_time_s,n_circuits,train_accuracy,accuracy,precision,recall,f1_score,circuit_depth,n_qubits
breast_cancer,QSVC,28.37519672201597,19.25004471698776,2970,1.0,0.6,0.3157894736842105,0.46153846153846156,0.375,19,4
breast_cancer,VQC,122.09969309798907,0.9980285839992575,6020,0.7833333333333333,0.3,0.32967032967032966,0.32967032967032966,0.3,29,4
wine,QSVC,33.35696189000737,21.926200384972617,2970,1.0,0.65,0.6384615384615385,0.5904761904761905,0.5714285714285713,22,5
wine,VQC,134.17871685200953,1.020129001000896,6020,0.5166666666666667,0.25,0.16498316498316498,0.22023809523809523,0.18859649122807018,32,5
digits,QSVC,42.443495227984386,28.165473388013197,2970,1.0,0.1,0.06666666666666667,0.1,0.075,25,6
digits,VQC,163.5946135330014,1.138254292018246,6020,0.18333333333333332,0.1,0.02,0.1,0.03333333333333333,35,6
