model,breast_cancer,digits,wine
Logistic Regression,0.9649122807017544,0.8444444444444444,1.0
SVM (RBF kernel),0.956140350877193,0.9583333333333334,0.9444444444444444
Random Forest,0.9298245614035088,0.9194444444444444,1.0
QSVC,0.7456140350877193,0.2861111111111111,0.75
VQC,0.7280701754385965,0.0972222222222222,0.3888888888888889
