model,best_params,fit_time_s,predict_time_s,grid_search_time_s,accuracy_cv_std,accuracy,precision,recall,f1_score,confusion_matrix,n_circuits,train_accuracy,circuit_depth,n_qubits
Logistic Regression,"{""C"": 10}",0.007091084000421688,0.00011850000009872019,1.6206600010045804,0.014865851504696577,0.8444444444444444,0.845873763979027,0.8435456885456885,0.8413110943483147,"[[33, 0, 0, 0, 1, 0, 2, 0, 0, 0], [0, 26, 0, 1, 0, 1, 2, 0, 2, 4], [0, 0, 32, 1, 0, 0, 0, 1, 1, 0], [0, 0, 3, 32, 0, 0, 0, 0, 0, 2], [0, 2, 0, 0, 33, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 36, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0, 34, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0, 31, 0, 0], [0, 7, 2, 2, 0, 0, 0, 3, 21, 0], [0, 0, 0, 4, 3, 1, 0, 1, 1, 26]]",,,,
SVM (RBF kernel),"{""C"": 10, ""gamma"": ""scale""}",0.009833415999310091,0.004561041001579724,0.26547329098684713,0.019319170902734696,0.9583333333333334,0.9599489075612311,0.9579322179322179,0.9578344123254915,"[[35, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 33, 0, 0, 0, 1, 0, 0, 1, 1], [0, 0, 35, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 37, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 36, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 36, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 35, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 36, 0, 0], [0, 2, 0, 1, 3, 0, 0, 0, 29, 0], [0, 0, 0, 1, 0, 1, 0, 1, 0, 33]]",,,,
Random Forest,"{""max_depth"": null, ""n_estimators"": 200}",0.2646245829964755,0.008425374995567836,1.1798320430098101,0.02211330583038883,0.9194444444444444,0.9206950675371728,0.919026169026169,0.9185118609969084,"[[35, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 32, 0, 1, 0, 0, 2, 0, 0, 1], [0, 0, 34, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 33, 0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 35, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 36, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0, 34, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 35, 1, 0], [0, 4, 1, 2, 0, 0, 0, 2, 26, 0], [0, 0, 0, 1, 0, 1, 0, 2, 1, 31]]",,,,
QSVC,,3803.293570020993,1925.3877419209894,,,0.2861111111111111,0.2874307725819565,0.2858708708708709,0.28545056868086377,"[[9, 2, 3, 4, 4, 3, 0, 4, 5, 2], [3, 11, 0, 3, 4, 1, 3, 3, 4, 4], [5, 4, 7, 4, 2, 4, 4, 0, 2, 3], [0, 1, 8, 13, 2, 4, 3, 0, 3, 3], [0, 1, 3, 3, 12, 6, 3, 5, 1, 2], [2, 3, 4, 1, 4, 5, 7, 3, 4, 4], [1, 1, 4, 1, 2, 2, 16, 0, 5, 4], [3, 3, 3, 2, 4, 3, 2, 13, 1, 2], [5, 5, 3, 1, 2, 4, 5, 1, 7, 2], [3, 5, 5, 3, 1, 3, 3, 1, 2, 10]]",1549086.0,0.9582463465553236,25.0,6.0
VQC,,356.3517096229916,0.8944177090015728,,,0.09722222222222222,0.019435785055094294,0.09722222222222222,0.03239524166755975,"[[16, 20, 0, 0, 0, 0, 0, 0, 0, 0], [17, 19, 0, 0, 0, 0, 0, 0, 0, 0], [10, 25, 0, 0, 0, 0, 0, 0, 0, 0], [14, 23, 0, 0, 0, 0, 0, 0, 0, 0], [25, 11, 0, 0, 0, 0, 0, 0, 0, 0], [21, 16, 0, 0, 0, 0, 0, 0, 0, 0], [19, 17, 0, 0, 0, 0, 0, 0, 0, 0], [26, 10, 0, 0, 0, 0, 0, 0, 0, 0], [20, 15, 0, 0, 0, 0, 0, 0, 0, 0], [11, 25, 0, 0, 0, 0, 0, 0, 0, 0]]",144060.0,0.12734864300626306,35.0,6.0
