n_components,n_qubits,explained_variance,qsvc_accuracy
4,4,0.48568986747471476,0.3277777777777778
5,5,0.5420032062846807,0.2777777777777778
6,6,0.5906003454408992,0.2861111111111111
8,8,0.6687858470377945,0.25833333333333336
