model,best_params,fit_time_s,predict_time_s,grid_search_time_s,accuracy_cv_std,accuracy,precision,recall,f1_score,confusion_matrix,n_circuits,train_accuracy,circuit_depth,n_qubits
Logistic Regression,"{""C"": 10}",0.0011073749919887632,9.820799459703267e-05,1.8657760850037448,0.014578570507056717,0.9649122807017544,0.9623015873015872,0.9623015873015872,0.9623015873015872,"[[40, 2], [2, 70]]",,,,
SVM (RBF kernel),"{""C"": 10, ""gamma"": ""auto""}",0.0008305000083055347,0.00022279200493358076,0.09480645800067578,0.010766987880365621,0.956140350877193,0.9550618108920814,0.9503968253968254,0.9526381387619444,"[[39, 3], [2, 70]]",,,,
Random Forest,"{""max_depth"": null, ""n_estimators"": 50}",0.025093792006373405,0.0013348339998628944,0.4711132499942323,0.013900121583157714,0.9298245614035088,0.9246031746031746,0.9246031746031746,0.9246031746031746,"[[38, 4], [4, 68]]",,,,
QSVC,,279.2189849610004,137.5390568550065,,,0.7456140350877193,0.7274482274482275,0.7142857142857143,0.7191402599609209,"[[25, 17], [12, 60]]",155155.0,0.8901098901098901,19.0,4.0
VQC,,83.71755270399444,0.2125914170028409,,,0.7280701754385965,0.7322025800286669,0.6607142857142857,0.6664464369985843,"[[17, 25], [6, 66]]",45614.0,0.7032967032967034,29.0,4.0
