iteration,cost
1,9.725660152669544
2,9.826817328118048
3,9.792703735318955
4,9.74039638117215
5,9.730305022020397
6,9.722612203004102
7,9.643168261335465
8,9.640606673780503
9,9.647662975303062
10,9.638353882274327
11,9.646446523409946
12,9.680840546278588
13,9.639842947951811
14,9.643113351957066
15,9.638934635311351
16,9.642442051193013
17,9.620195694620993
18,9.620998757722841
19,9.620022597285391
20,9.617214929689991
21,9.622410273607795
22,9.648013390862323
23,9.629676536736042
24,9.644781955334675
25,9.602539798905672
26,9.61287576854908
27,9.59048589551754
28,9.602319601994722
29,9.592460244687006
30,9.608417681868028
31,9.59220508134764
32,9.606535981774929
33,9.593505082750474
34,9.624299303443362
35,9.59407934007939
36,9.585140160674383
37,9.585309663875721
38,9.591711732300338
39,9.612904557167875
40,9.57996514318663
41,9.60508824054448
42,9.593430193393152
43,9.576369685032358
44,9.578503875435143
45,9.581071480228161
46,9.61177374226133
47,9.585064078673586
48,9.610804762999015
49,9.581694342819477
50,9.586668131315598
51,9.574061037501213
52,9.602015422799937
53,9.590107049824347
54,9.559696791707397
55,9.571494069616007
56,9.56779410166596
57,9.544793112706285
58,9.569624218618445
59,9.54067094394646
60,9.590693137724136
61,9.530855354072248
62,9.566482713987929
63,9.527317447858367
64,9.544427566887123
65,9.53622406455159
66,9.538446027146756
67,9.539217298093789
68,9.541102459435484
69,9.530362512828898
70,9.538810369230811
71,9.544395598196662
72,9.536048677744654
73,9.518825906431806
74,9.547753649788143
75,9.526722158184896
76,9.536235124012387
77,9.539330541652035
78,9.525399760517114
79,9.525478597266865
80,9.531913010173128
81,9.526442733471216
82,9.54969874531143
83,9.53834227376005
84,9.519207711606063
85,9.521071289308768
86,9.521223433038886
87,9.522107336241339
88,9.521748205978053
89,9.518729371405302
90,9.518255301549573
91,9.517716044226217
92,9.517807909398
93,9.518191658165906
94,9.518869348104653
95,9.517795336016185
96,9.518883214665612
97,9.51668885137362
98,9.518457146609258
99,9.519634141754137
100,9.514788418592726
