iteration,cost
1,1.0484968490987023
2,1.1074044533744638
3,1.0309584647034973
4,1.0436194623483157
5,0.9978470328241995
6,1.0765256470706908
7,0.9942749016501219
8,1.087734364462476
9,0.991565172944323
10,1.0093345104542433
11,1.0486834967541518
12,0.9932723686697372
13,0.9953153770804573
14,0.9226839952595901
15,0.9268386754624495
16,0.9234336039701855
17,0.9244303724008747
18,1.0152128880513107
19,0.9341010453381327
20,0.9045155395402437
21,0.953863627055397
22,0.9715073731940163
23,0.9941230161866431
24,0.8938229163619268
25,0.899810716327991
26,0.8998156973782391
27,1.0134532869052615
28,0.9165848279542417
29,0.8915282132522802
30,0.8862527576949794
31,0.8828910902849164
32,0.8860465566152926
33,0.8851957128894391
34,0.879302405105844
35,0.8859304076180949
36,0.8793243950214144
37,0.8777076578645937
38,0.8777672643736016
39,0.8776770574498648
40,0.8726568600000914
41,0.8693943788668026
42,0.8733274293836019
43,0.8692081197644085
44,0.8665180857742077
45,0.8666893699969844
46,0.8716525766122843
47,0.8583896756314247
48,0.8567789291234436
49,0.853192776686148
50,0.8495629608792155
51,0.8486640161003511
52,0.8483960420353905
53,0.8505367508505366
54,0.8477620016750764
55,0.8477137750374828
56,0.8471220169863358
57,0.8459801837483426
58,0.8495357148313986
59,0.848840107800172
60,0.8446614736265039
61,0.8431877610194857
62,0.8409235032711474
63,0.8386566998610654
64,0.8360840163424345
65,0.8352756882006054
66,0.8338052997694841
67,0.8362967676396117
68,0.8332045316937983
69,0.8318216343683528
70,0.8296725272584727
71,0.8312523626964919
72,0.8313015727007643
73,0.8297592466584809
74,0.8304353539569984
75,0.8323431298414626
76,0.8302351984383811
77,0.8306855768990132
78,0.8296388088743015
79,0.8285505760168723
80,0.8266730477268707
81,0.8270923125856122
82,0.8276336244288309
83,0.8263297709522028
84,0.8260295505548264
85,0.8284999080782592
86,0.8273345110254711
87,0.8285229851482969
88,0.8261269896187287
89,0.8283282611371952
90,0.8248036038228475
91,0.8263328357704676
92,0.8234553171846786
93,0.8268004939641209
94,0.8258301650542238
95,0.8251839885581282
96,0.8246110194785623
97,0.8260486522477597
98,0.8239883363072821
99,0.8252613945552352
100,0.8274828302821516
